"CompanyDallas
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3,Dallas,Dominican Republic
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75,Dallas,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25,Dallas,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75,Dallas,Ecuador
Cacao Sampaka,Papua,523,2010,71%,Spain,4,Dallas,Papua New Guinea
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,537,2010,71%,Spain,3.5,Dallas,Venezuela
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5,Dallas,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico
Cacao Store,Madagascar,1684,2015,70%,Japan,3,Trinitario,Madagascar
Cacao Store,Peru,1684,2015,70%,Japan,3.25,Dallas,Peru
Cacao Store,Vietnam,1684,2015,70%,Japan,3.5,Trinitario,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3.25,Dallas,Peru
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82%,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Grenade,296,2008,60%,Belgium,2.75,Trinitario,Grenada
Callebaut,Baking,141,2007,70%,Belgium,1,Dallas,Ecuador
C-Amaro,Cuba,1442,2014,75%,Italy,2.5,Dallas,Cuba
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3,Dallas,Dominican Republic
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,Blend,Dallas
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5,Dallas,Ecuador
C-Amaro,Venezuela,809,2012,80%,Italy,3,Dallas,Venezuela
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,765,2011,70%,Italy,2.5,Trinitario,Trinidad
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5,Criollo,Venezuela
Cao,Tanzania,1804,2016,73%,U.S.A.,2.75,Dallas,Tanzania
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3,Criollo,Venezuela
Cao,Bolivia,1808,2016,75%,U.S.A.,3,Dallas,Bolivia
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,237,2008,77%,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5,Forastero (Arriba),Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75,Dallas,Papua New Guinea
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5,Dallas,Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72%,Costa Rica,3.25,Dallas,Costa Rica
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5,Dallas,Costa Rica
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3,Forastero,Costa Rica
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3,Trinitario,Colombia
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5,CCN51,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"Duarte, Batch 360",1570,2015,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3.5,Dallas,Venezuela
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Elvesia P.,1407,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3,Trinitario,Bolivia
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5,Criollo,Peru
Castronovo,"Guaniamo, Amazonas",1105,2013,70%,U.S.A.,3.25,Dallas,Venezuela
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3.25,Trinitario,Nicaragua
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75,Criollo,Peru
Castronovo,Guaniamo,1153,2013,72%,U.S.A.,3,Dallas,Venezuela
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5,Dallas,Ecuador
Cello,Peru,1247,2014,70%,U.S.A.,2.75,Dallas,Peru
Cello,Venezuela,1251,2014,70%,U.S.A.,2.75,Dallas,Venezuela
Cello,Bolivia,1251,2014,70%,U.S.A.,3,Dallas,Bolivia
Cemoi,Equateur,404,2009,72%,France,2.75,Dallas,Ecuador
Chaleur B,Uganda,1426,2014,70%,Canada,2.75,Forastero,Uganda
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3.25,Dallas,Belize
Chchukululu (Tulicorp),Arriba,486,2010,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Los Rios,252,2008,75%,Ecuador,3,Forastero (Arriba),Ecuador
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5,Dallas,Costa Rica
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5,Dallas,Dallas
Chocablog,Ecuador,1454,2015,70%,U.K.,3.25,Dallas,Ecuador
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3,Trinitario,Belize
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25,Trinitario,Belize
Choco Dong,"Mekong Delta, early 2014 Harvest",1696,2015,70%,South Korea,2.75,Trinitario,Vietnam
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75,Criollo,Peru
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2.5,Dallas,Dominican Republic
Chocola'te,Madagascar,647,2011,70%,U.S.A.,3.75,Trinitario,Madagascar
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75,Dallas,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5,Dallas,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5,Dallas,Dallas
Chocolate Con Amor,Wild Bolivian,1760,2016,70%,U.S.A.,2.5,Dallas,Bolivia
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,2.75,Dallas,Uganda
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3,Dallas,Dominican Republic
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3,Dallas,Dominican Republic
Chocolate Con Amor,Ocumare,1764,2016,80%,U.S.A.,3,Criollo (Ocumare),Venezuela
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25,Dallas,Ecuador
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75,Dallas,Nicaragua
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75,Dallas,Peru
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5,Forastero,Congo
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Maranon,1582,2015,69%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela
"Chocolate Tree, The",Peru,1121,2013,70%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Ecuador,919,2012,82%,Scotland,2.5,Forastero (Arriba),Ecuador
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,2.75,Criollo,Peru
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3.25,Criollo,Madagascar
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico
ChocoReko,Patanemo,1454,2015,77%,Japan,3,Criollo,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65%,Canada,3.25,Dallas,Mexico
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar
Chocovic,Kendari,439,2009,60%,Spain,3.25,Dallas,Dallas
Chocovic,Tarakan,439,2009,75%,Spain,3.25,Dallas,Dallas
Chocovic,Ocumare,209,2008,71%,Spain,3.5,Criollo,Venezuela
Chocovic,"Bolivar, Guaranda",117,2007,71%,Spain,2.5,Forastero (Arriba),Ecuador
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada
Chocovic,Maragda,117,2007,70%,Spain,3,Blend,Dallas
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2.5,Trinitario,Mexico
Choklat,Ocumare,377,2009,80%,Canada,2.5,Criollo,Venezuela
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico
Choklat,Brazilian,377,2009,70%,Canada,3,Dallas,Brazil
Choklat,Brazilian,377,2009,80%,Canada,3,Dallas,Brazil
Choklat,Ocumare,377,2009,70%,Canada,3,Criollo,Venezuela
Chokolat Elot (Girard),Guadeloupe,1149,2013,42%,Martinique,2.75,Dallas,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3.25,Dallas,Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666,2011,68%,Canada,3.75,Forastero (Nacional),Peru
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3,Criollo,Venezuela
Chuao Chocolatier (Pralus),Chuao,486,2010,77%,U.S.A.,2.75,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,470,2010,73.50%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,252,2008,100%,Sao Tome,1,Forastero,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73%,U.S.A.,3.5,Dallas,Ecuador
Coleman & Davis,Sambirano,1646,2015,75%,U.S.A.,3,Trinitario,Madagascar
Compania de Chocolate (Salgado),Sur del Lago,579,2010,70%,Argentina,3.25,Dallas,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80%,Argentina,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Moxos,292,2008,72%,Argentina,3.25,Dallas,Bolivia
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,296,2008,88%,Argentina,2.75,Forastero (Nacional),Ecuador
Condor,Camino Verde,1630,2015,76%,U.S.A.,3.5,Dallas,Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",1916,2016,78%,U.S.A.,2.75,Trinitario,Vietnam
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3.25,Forastero (Nacional),Ecuador
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana
Coppeneur,Ecuador Puristique,817,2012,100%,Germany,1.5,Dallas,Ecuador
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar
Coppeneur,Grenada,470,2010,72%,Germany,3.25,Trinitario,Grenada
Coppeneur,Chuao,478,2010,70%,Germany,3,Trinitario,Venezuela
Coppeneur,"Los Rios, H. Iara",558,2010,72%,Germany,2.5,Nacional,Ecuador
Coppeneur,Trinidad,558,2010,72%,Germany,3,Trinitario,Trinidad
Coppeneur,Jamaica,558,2010,72%,Germany,3.25,Trinitario,Jamaica
Coppeneur,Ocumare 61,558,2010,72%,Germany,3.25,Criollo (Ocumare 61),Venezuela
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru
Coppeneur,Chuao 100hr,451,2009,70%,Germany,3.5,"Criollo, Trinitario",Venezuela
Coppeneur,Chuao 70hr,451,2009,70%,Germany,3.75,"Criollo, Trinitario",Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3,Criollo,Mexico
Coppeneur,"Porcelana, Venezuela",220,2008,72%,Germany,3,Criollo (Porcelana),Venezuela
Coppeneur,"Sambirano, Menava P.",196,2007,72%,Germany,3,Trinitario,Madagascar
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25,Dallas,Dominican Republic
Finca,Dominican Republic,1287,2014,85%,U.S.A.,2.5,Dallas,Dominican Republic
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru
Forteza (Cortes),Dominican Republic,1776,2016,70%,Puerto Rico,2.75,Dallas,Domincan Republic
Forteza (Cortes),Puerto Rico,1776,2016,80%,Puerto Rico,2.75,Dallas,Domincan Republic
Fossa,"Akesson's E., Sambirano V.",1772,2016,70%,Singapore,2.75,Dallas,Madagascar
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5,Dallas,Ecuador
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67%,Singapore,3.75,Trinitario,Tanzania
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5,Dallas,Venezuela
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75,Dallas,Venezuela
Franceschi,Canoabo,911,2012,70%,Venezuela,3.75,Dallas,Venezuela
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5,Dallas,Venezuela
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5,Dallas,Costa Rica
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5,Dallas,Peru
Frederic Blondeel,Vietnam,1542,2015,80%,Belgium,3,Trinitario,Vietnam
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5,Dallas,Peru
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5,Dallas,Guatemala
French Broad,San Andres,1209,2014,80%,U.S.A.,3,Dallas,Costa Rica
French Broad,Matagalpa,1295,2014,68%,U.S.A.,3.25,Dallas,Nicaragua
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5,Dallas,Peru
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5,Dallas,Peru
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2,Dallas,Peru
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero (Nacional),Peru
French Broad,La Red,785,2011,65%,U.S.A.,3.5,Dallas,Dominican Republic
Fresco,"Maranon, #228, MR, SC",1383,2014,70%,U.S.A.,3,Forastero (Nacional),Peru
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Conacado, #223, MR, SC",1030,2013,72%,U.S.A.,3.25,Dallas,Dominican Republic
Fresco,"Conacado, #224, MR, MC",1081,2013,72%,U.S.A.,3.75,Dallas,Dominican Republic
Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70%,U.S.A.,3.75,Dallas,Peru
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4,Trinitario,Peru
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5,Dallas,Papua New Guinea
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5,Dallas,Papua New Guinea
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4,Trinitario,Madagascar
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4,Trinitario,Papua New Guinea
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3,Trinitario,Papua New Guinea
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana
Fresco,"Jamaica, #209, DR, SC",642,2011,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5,Dallas,Dominican Republic
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica
Fresco,"Sambirano Valley, #214, LR, MC",682,2011,74%,U.S.A.,2.75,Trinitario,Madagascar
Fresco,"Conacado, #213, DR, -C",682,2011,72%,U.S.A.,3.25,Dallas,Dominican Republic
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74%,U.S.A.,3,Trinitario,Madagascar
Fresco,"Chuao, #218, MR, MC",745,2011,76%,U.S.A.,3.25,Trinitario,Venezuela
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4,Trinitario,Venezuela
Fresco,"Jamaica, #204, DR, SC",370,2009,80%,U.S.A.,2.75,Trinitario,Jamaica
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3,Trinitario,Jamaica
Fresco,"Jamaica, #205, DR, MC",370,2009,70%,U.S.A.,3.25,Trinitario,Jamaica
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65%,U.S.A.,3.5,Criollo,Venezuela
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5,Dallas,Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,60%,Denmark,3,Dallas,Nicaragua
Friis Holm (Bonnat),La Dalia,1680,2015,85%,Denmark,3.25,Dallas,Nicaragua
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5,Dallas,Nicaragua
Friis Holm (Bonnat),"Barba, Xoco",1034,2013,70%,Denmark,3.25,Dallas,Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5,Dallas,Nicaragua
Friis Holm (Bonnat),"Chuno, triple turned, Xoco",895,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Red Mayan, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Honduras
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Rugoso, Xoco",923,2012,70%,Denmark,3.75,Dallas,Nicaragua
Friis Holm (Bonnat),"Johe, Xoco",623,2011,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4,Amazon mix,Costa Rica
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad
Fruition,Maranon,1359,2014,76%,U.S.A.,3,Forastero (Nacional),Peru
Fruition,La Red,1046,2013,70%,U.S.A.,3.75,Dallas,Dominican Republic
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3,Dallas,Ecuador
Fruition,Peru,863,2012,70%,U.S.A.,2.5,Dallas,Peru
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica
Fruition,Costa Rica,781,2011,70%,U.S.A.,3,Dallas,Costa Rica
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85%,U.S.A.,2.5,Blend,Hawaii
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4,Forastero,Ghana
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Domincan Republic
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Domincan Republic
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5,Dallas,Belize
Glennmade,Bahia,1672,2015,66%,U.S.A.,3,"Trinitario, Forastero",Brazil
Goodnow Farms,"Almendra Blanca, batch 1004",1924,2016,77%,U.S.A.,2.75,Dallas,Mexico
Goodnow Farms,"El Carmen, batch 1003",1924,2016,77%,U.S.A.,3.25,Dallas,Nicaragua
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25,Dallas,Guatemala
Grand Place,"Ben Tre, Dong Nai",741,2011,72%,Vietnam,3,Trinitario,Vietnam
Green & Black's (ICAM),Dark,15,2006,70%,U.K.,2.5,Dallas,Dallas
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5,Dallas,Madagascar
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada
Guido Castagna,Arriba,355,2009,64%,Italy,3,Forastero (Arriba) ASS,Ecuador
Guido Castagna,Ghana,355,2009,64%,Italy,3,Forastero,Ghana
Guido Castagna,Trinidad & Tobago,355,2009,64%,Italy,3,Dallas,"Trinidad, Tobago"
Guido Castagna,Lacri Blend,355,2009,76%,Italy,3,Dallas,Venezuela
Guido Castagna,Blend,355,2009,64%,Italy,3.25,Dallas,"Ven, Trinidad, Ecuador"
Guittard,"Epique, Blend No. 49",1602,2015,70%,U.S.A.,3.75,Dallas,Dallas
Guittard,Haiti,1053,2013,65%,U.S.A.,2.75,Dallas,Haiti
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75,Dallas,Nicaragua
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5,Dallas,Ecuador
Guittard,Coucher du Soleil,654,2011,72%,U.S.A.,2.75,Dallas,Dallas
Guittard,Lever du Soleil,654,2011,61%,U.S.A.,3.25,Dallas,Dallas
Guittard,Onyx,654,2011,72%,U.S.A.,3.25,Dallas,Dallas
Guittard,Trinidad,552,2010,65%,U.S.A.,3,Trinitario,Trinidad
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55%,U.S.A.,3,Dallas,Hawaii
Guittard,Nocturne,387,2009,91%,U.S.A.,3,Dallas,Dallas
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend,Dallas
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3,Dallas,Peru
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3,Dallas,Dallas
Guittard,Ocumare,276,2008,65%,U.S.A.,3.5,Dallas,Venezuela
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend,Dallas
Guittard,Chucuri,15,2006,65%,U.S.A.,3,Trinitario,Colombia
Guittard,Sur del Lago,87,2006,65%,U.S.A.,2.5,"Trinitario, Criollo",Venezuela
Guittard,"Sambirano, Ambanja",87,2006,65%,U.S.A.,3.5,"Criollo, +",Madagascar
Guittard,"Los Rios, Quevedo",93,2006,65%,U.S.A.,3.5,Forastero (Arriba),Ecuador
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend,Dallas
Guittard,Semisweet,99,2006,61%,U.S.A.,3,Blend,Dallas
Habitual,Papua New Guinea,1197,2014,80%,Canada,2.75,Dallas,Papua New Guinea
Habitual,Campesino w/ nibs,1197,2014,74%,Canada,2.75,Dallas,Dallas
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25,Dallas,Dominican Republic
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario,Dallas
Habitual,Downtown London,1201,2014,65%,Canada,2.75,Dallas,Dallas
Habitual,Africa meets Latina,1201,2014,70%,Canada,3,Dallas,Dallas
Habitual,Amazonas,1201,2014,80%,Canada,3,Dallas,Dallas
Habitual,Sharkey,1201,2014,66%,Canada,3.25,Dallas,Hawaii
Habitual,one hundred,1205,2014,100%,Canada,2,Dallas,Dallas
Hachez,Arriba,166,2007,77%,Germany,2.5,Forastero (Arriba),Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,55%,Ecuador,2.75,Trinitario,Ecuador
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3,Trinitario,Ecuador
Haigh,South America and Africa,701,2011,70%,Australia,3,Dallas,"South America, Africa"
Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85%,U.S.A.,3.25,Dallas,Brazil
